	特定家電の比較サイト	2,400万円	400,000円	200円	400,000円	29,500	-	2016-07-22
	生活雑貨を借りたい人と貸したい人をマッチングするサイト	105万円	0円	3,000円	-3,000円	4,000	件	2016-07-19
	ホームページの人気作成ソフトの使い方を説明するサイト	25万円	11,717円	1,530円	10,187円	7,347	-	2016-07-10
	ブランド時計のカタログサイト	2万円	800円	0円	800円	2,365	-	2016-07-10
	高級時計のカタログサイト	2万円	460円	0円	460円	1,135	-	2016-07-10
	車の一括査定サイト	10万円	30,000円	1,000円	29,000円	1,500	-	2016-06-30
	某家庭用脱毛器のレビューサイト	50万円	0円	500円	-500円	0	-	2016-09-03
	ゴルフコンペ賞品専門サイト	400万円	1,000,000円	750,000円	250,000円	3,500	-	2016-09-02
	効果的な瞑想の方法などを紹介するサイト	6万円	0円	50円	-50円	200	-	2016-09-01
	症状や悩み別におすすめの漢方薬を紹介するサイト	6万円	0円	50円	-50円	160	-	2016-09-01
	格安スマホや格安simの比較サイト	400万円	279,733円	9,000円	270,733円	51,770	-	2016-08-29
	WiMAX2+の比較サイト	150万円	104,705円	1,000円	103,705円	3,500	-	2016-08-29
	動物の美容と健康のマッチングサイト	15万円	0円	500円	-500円	100	-	2016-08-27
	借金の1つの解決方法に特化したサイト	500万円	500,000円	105,000円	395,000円	17,000	-	2016-08-25
	引っ越し全般の情報サイト	400万円	84,275円	1,200円	83,075円	-	-	2016-08-23
	求人探しの方法や各種情報を提供するサイト	10万円	500円	100円	400円	500	-	2016-08-19
	【価格変更】地域特化型の求人広告サイト	3,000万円	7,500,000円	6,000,000円	1,500,000円	14,700	-	2016-08-08
	ランジェリー通販サイト	200万円	483,995円	169,618円	314,377円	41,715	-	2016-08-17
	サプリメントを扱うサイト	200万円	100,000円	12,000円	88,000円	5,300	-	2016-08-14
	ポケモンGOに関するキュレ―ションサイト	10万円	0円	540円	-540円	10,000	-	2016-08-11
	【価格変更】脱毛サイト42サイト売却	50万円	0円	2,000円	-2,000円	-	-	2016-07-29
	低価格路線のデータ復旧サービスサイト	60万円	150,000円	50,000円	100,000円	-	-	2016-08-03
	ごみを安く処分する方法をまとめたサイト	30万円	0円	0円	0円	729	-	2016-08-03
	趣味を紹介するメディア	100万円	0円	250,500円	-250,500円	50,000	-	2016-08-02
	フォロワー数18万超のダイエット・美容に特化したツイッターアカウント	300万円	300,000円	2,000円	298,000円	-	-	2016-08-01
	特定ジャンルの買取店紹介サイト	5万円	560円	425円	135円	390	-	2016-08-01
	債務整理のキュレーションサイト	200万円	0円	34,100円	-34,100円	5,035	-	2016-10-20
	東南アジア特定国に滞在する日本人向けの情報提供サイト	10万円	0円	32,400円	-32,400円	7,284	件	2016-10-19
	海外に英語で日本文化などを紹介するサイト	200万円	0円	0円	0円	400	件	2016-10-18
	サプリメントの商品レビューサイト_4	20万円	15,000円	1,000円	14,000円	1,160	-	2016-10-13
	化粧水の商品レビューサイト_2	20万円	20,000円	1,000円	19,000円	441	-	2016-10-13
	中古車一括査定の比較サイト_2	30万円	20,000円	1,000円	19,000円	149	-	2016-10-13
	中古車一括査定の比較サイト_1	20万円	17,000円	1,000円	16,000円	371	-	2016-10-13
	サプリメントの商品レビューサイト_3	25万円	24,000円	1,000円	23,000円	436	-	2016-10-13
	サプリメントの比較サイト_2	80万円	80,000円	1,000円	79,000円	1,075	-	2016-10-13
	サプリメントの商品レビューサイト_2	60万円	60,000円	1,000円	59,000円	3,182	-	2016-10-13
	サプリメントの商品レビューサイト_1	60万円	60,000円	1,000円	59,000円	2,267	-	2016-10-13
	サプリメントの比較サイト_1	30万円	20,000円	1,000円	19,000円	110	-	2016-10-13
	化粧水の商品レビューサイト_1	350万円	300,000円	1,000円	299,000円	7,663	-	2016-10-13
	なんでも実況Ｊを主としたまとめサイト	20万円	20,000円	0円	0円	600,000	-	2016-10-11
	転売に関する情報ブログ	150万円	40,000円	0円	40,000円	10,000	-	2016-10-06
	おもしろ動画投稿で会員数29,000人超のFBアカウント	30万円	7,500円	250円	7,250円	1,500	-	2016-10-06
	フリーランスになるためのノウハウや手順を紹介するサイト	20万円	20,000円	500円	19,500円	500	-	2016-09-25
	特定ビジネス関連の情報発信サイト	20万円	10,000円	400円	9,600円	8,000	-	2016-09-23
	FX比較サイト	280万円	105,670円	6,540円	99,130円	800	-	2016-09-22
	美容通信講座の販売サイト	1,800万円	1,010,000円	623,000円	387,000円	14,000	-	2016-09-15
	精力剤のレビューサイト_1	1,800万円	1,500,000円	1,500円	1,498,500円	140,000	-	2016-12-26
	外壁屋根塗装の集客用サイト	300万円	5,000,000円	4,000,000円	1,000,000円	12,000	件	2016-12-19
	クレジットカード現金化の業者比較サイト	33万円	30,000円	1,200円	28,800円	800	-	2016-12-16
	【価格変更】アルバイト登録サイトの比較サイト_6	10万円	5,000円	1,000円	4,000円	475	-	2016-10-13
	【価格変更】アルバイト登録サイトの比較サイト_5	10万円	5,000円	1,000円	4,000円	602	-	2016-10-13
	【価格変更】アルバイト登録サイトの比較サイト_4	10万円	5,000円	1,000円	4,000円	117	-	2016-10-13
	【価格変更】アルバイト登録サイトの比較サイト_3	10万円	5,000円	1,000円	4,000円	224	-	2016-10-13
	【価格変更】アルバイト登録サイトの比較サイト_2	10万円	5,000円	1,000円	4,000円	650	-	2016-10-13
	【価格変更】アルバイト登録サイトの比較サイト_1	10万円	5,000円	1,000円	4,000円	466	件	2016-10-13
	イベント情報のポータルサイト	150万円	750円	1,200円	-450円	6,500	-	2016-11-25
	某有名脱毛サロンの大型アフィリエイトサイト	60万円	14,000円	5,500円	9,500円	-	-	2016-11-21
	地方空港の情報を掲載しているサイト	30万円	1,000円	600円	400円	5,000	件	2016-11-08
	ネイル検定に関する情報サイト	10万円	0円	1,195円	-1,195円	1,891	件	2016-11-08
	【価格変更】自動車保険に関する情報と自動車保険会社比較サイト	10万円	0円	615円	-615円	10	件	2016-09-04
	【価格変更】ペット保険に関する情報とペット保険会社比較サイト	10万円	0円	615円	-615円	0	-	2016-09-04
	【価格変更】不妊治療に関する情報サイト	5万円	0円	745円	-745円	0	-	2016-09-04
	【価格変更】痛風の治療に関する情報サイト	10万円	0円	615円	-615円	0	-	2016-09-04
